t,o,h,l,c,v
1761624000000,249.55,250.9,248.11,248.96,28075893.0
1761710400000,248.84,251.14,244.69,246.84,55951795.0
1761796800000,245.27,248.14,244.63,244.85,44538747.0
1761883200000,244.99,246.79,243.69,246.23,37214671.0
1762146000000,246.17,246.26,242.485,245.44,28887904.0
1762232400000,241.79,244.06,240.995,241.2,34468704.0
1762318800000,241.955,245.7297,241.64,244.68,38229168.0
1762405200000,244.26,244.785,240.0,240.35,40601196.0
1762491600000,238.41,241.66,236.2744,241.61,54978865.0
1762750800000,245.01,245.24,242.25,244.03,31238018.0
1762837200000,243.37,244.74,242.52,244.24,27357866.0
1762923600000,244.84,246.375,243.33,243.64,34543226.0
1763010000000,241.84,242.68,235.84,236.79,65709950.0
1763096400000,233.34,238.725,233.27,237.48,58344442.0
1763355600000,236.46,237.84,231.755,232.76,55765896.0
1763442000000,231.31,235.08,230.955,233.47,63092497.0
1763528400000,233.8,236.37,232.43,233.43,57280548.0
1763614800000,237.24,239.1,228.9,229.11,95483018.0
1763701200000,229.96,237.11,229.58,235.6,99504106.0
1763960400000,235.96,240.385,235.48,239.9,36135317.0
1764046800000,240.74,245.55,240.04,245.13,46160790.0
1764133200000,245.05,248.825,244.77,247.3,34636590.0
1764306000000,248.01,248.81,247.07,248.75,18911812.0
1764565200000,245.57,247.685,245.335,245.62,36919964.0
1764651600000,247.37,247.37,245.12,245.17,31918469.0
1764738000000,245.97,249.835,245.48,249.63,32846272.0
1764824400000,248.97,252.66,248.54,251.82,40245796.0
1764910800000,251.485,252.66,250.275,250.77,36956621.0
1765170000000,252.7,252.77,250.18,250.87,29100029.0
1765256400000,250.25,252.95,250.1,251.39,30170111.0
1765342800000,250.9,256.565,250.54,254.81,51105179.0
1765429200000,254.64,258.01,254.32,257.8,41345164.0
1765515600000,257.95,258.2,253.44,253.85,57657743.0
1765774800000,255.545,255.685,251.74,251.93,43120086.0
1765861200000,250.34,252.16,248.47,249.9,43115263.0
1765947600000,250.37,252.16,246.695,247.24,38132440.0
1766034000000,250.18,251.355,248.21,248.71,39067968.0
1766120400000,249.28,251.3999,249.06,250.79,43610403.0
1766379600000,252.28,255.115,252.2,253.58,40497273.0
1766466000000,252.42,253.22,251.46,252.08,24973497.0
1766552400000,251.97,252.86,251.12,252.71,12102974.0
1766725200000,252.58,252.75,250.395,251.42,17429945.0
1766984400000,250.26,251.5,249.35,249.88,25218779.0
1767070800000,249.97,250.15,247.95,248.03,22123639.0
1767157200000,248.18,248.28,246.01,246.16,35351972.0
1767330000000,247.63,249.09,245.86,248.78,40007650.0
1767589200000,249.79,253.55,249.57,252.73,37428056.0
1767675600000,252.24,256.25,251.52,256.08,40677781.0
1767762000000,256.4,256.795,253.97,255.48,33052026.0
1767848400000,254.7,258.93,254.36,258.27,37957029.0
1767934800000,259.58,261.56,258.09,260.23,36301546.0
1768194000000,259.28,261.66,258.24,261.5,28423355.0
1768280400000,262.405,262.885,260.46,261.35,33882364.0
1768366800000,261.13,263.46,260.19,263.19,37164298.0
1768453200000,264.06,267.045,263.73,265.51,33465208.0
1768539600000,265.865,267.215,264.71,265.76,33844875.0
1768885200000,261.14,265.0799,261.06,262.58,47911489.0
1768971600000,264.64,268.59,262.92,267.79,59952798.0
1769058000000,269.83,271.595,269.42,269.79,35110779.0
1769144400000,269.04,269.05,264.46,264.81,42636691.0
1769403600000,265.07,266.69,263.49,263.98,32119332.0
1769490000000,264.05,264.86,262.66,264.73,26975518.0
1769576400000,265.98,266.675,262.56,263.3,37139119.0
